内容      描述	种别码	行号
main    标志符	40	1
(    限界符	100	1
)    限界符	101	1
无      注释	120	1
{    限界符	104	2
int    关键字	17	3
a1    标志符	40	3
,    限界符	109	3
b2    标志符	40	3
;    限界符	110	3
a1    标志符	40	4
=    运算符	72	4
10      常量	51	4
;    限界符	110	4
b2    标志符	40	5
=    运算符	72	5
a1    标志符	40	5
+    运算符	68	5
20.32      常量	53	5
;    限界符	110	5
无      注释	120	8
123      常量	51	9
++    运算符	74	9
+    运算符	68	9
;    限界符	110	9
a1    标志符	40	10
+=    运算符	84	10
110      常量	51	10
;    限界符	110	10
}    限界符	105	11


